n. 容易（= ease),facility
n. 設施；設備,facility
adj. 忠實的；忠誠的；忠貞的,faithful
n. 名聲；名氣,fame
n. 空想、幻想（的作品）,fantasy
n. 告別,farewell
"n. 娛樂設施 (s 結尾, 2)",recreational facilities
phrase. 向～告別（3，b開頭）,bid farewell to 
adj. 致命的；無法補救的；命中註定的,fatal
adj. 有利的：贊成的,favorable
n. 盛宴,feast
n. （宗教上的）節日,feast
vi. 大吃大喝,feast
n. 渡船,ferry
adj. 肥沃的；生產的,fertile
vt. 施肥；使受精,fertilize
n. 肥料,fertilizer
vt. 去拿來,fetch
n. 小說；虛構的事、話,fiction
adj. 兇猛的；殘暴的；猛烈的；激烈的,fierce
n. 財政；財源；財政狀況,finance
n. 爆竹；鞭炮,firecracker
n. 壁爐,fireplace
vt. 諂媚（ㄔㄢˇ ㄇㄟˋ）,flatter
受寵若驚 (2),I'm flattered
vi. 消逝,flee
vt. 從～逃走,flee
adj. 易彎曲的；有彈性的,flexible
n. 流利的：流暢的；善辯的,fluent
vt. Vi. 不及格；當掉,flunk
vt. 使臉紅,flush
vi. 沖洗（馬桶）,flush
n. 泡沫,foam
vt. 禁止,forbid
n. 預報；預測,forecast
n. 形成，構成物,formation
n. 公式；配方,formula
n. 客套話,formula
逃離一個國家 (4),flee from a country
缺乏彈性 (2),lack flexibility
彈性上班時間 (3),flexible working hours
當了一科 (3),flunk a subject
沖馬桶 (3),flush the toilet
天氣預報 (3),the weather forecast
做預測 (3),make a forecast
化學公式 (3),a chemical formula
,
,
