n. 堡壘；要塞,fort
"（代替某人）處理或做某事 (3, ~ for someone) ",hold the fort
adj. 幸運的,fortunate
n. 財富；運氣；命運,fortune
n. 芳香；香水 ,fragrance
n. 骨架；架構；框,frame
算命師 (2),a fortune-teller
n. 高速公路,freeway
n. 一年級新生；新鮮人,freshman
n. 霜,frost
vt. 皺眉,frown
n. 愁眉苦臉,frown
adj. 有收穫的；有成效的,fruitful
adj 無果實的；無成效的,fruitless
無成果的努力 (2) ,fruitless efforts
n. 燃料,fuel
vt. 激起,fuel
vt. 實現；履行；滿足,fulfill
強烈的滿足感 (5),a strong sense of fulfillment
adj. 有功能的；官能上的；在起作用的,functional
n. 葬禮,funeral
舉行國葬,hold a state funeral
adj. 盛怒的；猛烈的 (=furious)；狂暴的 (=violent),furious
狂風暴雨 (3),a furious storm
vt. 提供；供給；陳設；佈置,furnish
adj. 附有家具的,furnished
n. 陳設品；服飾品,furnishing
adv. 此外；而且,furthermore
vi. 注視；凝視,gaze
n. 齒輪；排檔,gear
n. 整套用具；整套裝備,gear
n. 遺傳學,genetics
adj. 真正的；真實的,genuine
n. 細菌,germ
n. 想法的根源,germ
adj. 巨大的 (= enormous),gigantic
vi. 吃吃的笑,giggle
n. 薑,ginger
adj. 特定的：給予的,given
prep. 考慮到；有鑑於,given
conj. 如果,given
