vi. 滑行；滑動,glide
n. 滑翔機,glider
vt. n. 瞥見；看一眼,glimpse
adj. 光榮的*；壯麗的,glorious
vt. 頌揚：美化,glorify
n. 商品；貨品,goods
n. 優雅；恩惠；感恩禱告,grace
adj. 優雅的,graceful
adj. 親切有禮的,gracious
禱告 (2),say grace
n. 文法,grammar
n. 葡萄柚,grapefruit
adj. 感激的,grateful
n. 感激,gratitude
n. 墓穴,grave
adj. 嚴重的；重大的,grave
n. 引力；重力,grease
adj. 油膩的：多油脂的,greasy
防油紙,greaseproof paper
n. 悲傷；悲痛；傷心事,grief
vt. Vi. 使悲傷；使悲痛,grieve
vt. Vi. 磨碎；磨光,grind
n. 研磨,grind
n. 保證（書）；擔保；保證之物,guarantee
n. 內疚；罪惡感；罪過,guilt
adj. 無罪的 (=innocent),guiltless
adj.  有罪的；心虛的,guilty
n. 海灣；隔閡（ㄏㄜˊ）；懸殊（ㄒㄩㄢˊ ㄕㄨ）,gulf 
adj. 習慣性的,habitual
vt. 討價還價 (= bargain),haggle
n. 停止,halt
vt. 妨礙；使處不利情況,handicap
adj. 缺陷的：殘障的 (= disabled),handicapped
n. 手工；手工藝品,handicraft
n. 艱苦；艱難,hardship
n. 口琴,harmonica
